Ticker,Buy,Confidence
RELIANCE.NS,No,0.5
HDFCBANK.NS,No,7.81
ICICIBANK.NS,No,0.04
INFY.NS,No,0.47
TCS.NS,Yes,73.98
LT.NS,Yes,98.63
ITC.NS,No,0.05
KOTAKBANK.NS,No,1.63
HINDUNILVR.NS,No,0.49
AXISBANK.NS,Yes,99.82
SBIN.NS,No,0.06
BHARTIARTL.NS,No,0.13
BAJFINANCE.NS,No,0.01
ASIANPAINT.NS,No,0.16
MARUTI.NS,No,0.19
HCLTECH.NS,Yes,99.59
SUNPHARMA.NS,No,0.05
NTPC.NS,No,0.01
TITAN.NS,No,9.13
ONGC.NS,No,0.06
ULTRACEMCO.NS,No,0.34
POWERGRID.NS,No,4.83
ADANIENT.NS,No,0.72
JSWSTEEL.NS,No,0.05
WIPRO.NS,No,0.91
TATAMOTORS.NS,No,0.11
INDUSINDBK.NS,No,0.23
BAJAJFINSV.NS,No,0.01
HINDALCO.NS,No,0.12
GRASIM.NS,Yes,99.72
TECHM.NS,Yes,99.39
DIVISLAB.NS,No,16.15
NESTLEIND.NS,No,0.03
TATASTEEL.NS,No,0.42
CIPLA.NS,No,0.47
ADANIPORTS.NS,No,16.3
DRREDDY.NS,No,0.03
BPCL.NS,No,9.79
SBILIFE.NS,No,0.01
BRITANNIA.NS,No,0.37
EICHERMOT.NS,No,0.0
HEROMOTOCO.NS,No,0.01
COALINDIA.NS,No,0.01
BAJAJ-AUTO.NS,No,0.02
HDFCLIFE.NS,Yes,99.29
SHREECEM.NS,No,4.58
APOLLOHOSP.NS,No,0.22
M&M.NS,No,0.03
ICICIPRULI.NS,Yes,95.68
UPL.NS,No,0.17
ABB.NS,No,30.8
ACC.NS,No,1.29
ADANIGREEN.NS,No,0.3
ALKEM.NS,No,0.02
AMBUJACEM.NS,No,1.21
AUROPHARMA.NS,No,0.05
BAJAJHLDNG.NS,Yes,77.51
BANDHANBNK.NS,No,0.86
BANKBARODA.NS,No,0.1
BERGEPAINT.NS,No,0.18
BIOCON.NS,No,0.26
BOSCHLTD.NS,No,0.06
CANBK.NS,No,0.01
CHOLAFIN.NS,No,0.07
COLPAL.NS,No,0.0
DABUR.NS,No,0.01
DIXON.NS,No,8.62
GAIL.NS,No,1.87
GODREJCP.NS,No,0.07
HAVELLS.NS,No,7.7
ICICIGI.NS,Yes,99.93
ICICIPRULI.NS,Yes,97.9
IDEA.NS,No,12.38
IGL.NS,No,18.69
INDIGO.NS,No,0.64
INDUSTOWER.NS,No,0.59
IOC.NS,No,0.21
LICHSGFIN.NS,No,0.11
MARICO.NS,No,0.07
MOTHERSON.NS,Yes,98.09
MRF.NS,Yes,57.94
NHPC.NS,No,0.42
NMDC.NS,No,0.06
PAGEIND.NS,Yes,96.77
PEL.NS,No,0.81
PIDILITIND.NS,No,0.07
PNB.NS,No,0.02
RECLTD.NS,No,0.14
SAIL.NS,No,0.06
SIEMENS.NS,Yes,71.62
SRF.NS,No,8.52
TORNTPHARM.NS,No,0.02
TRENT.NS,Yes,73.82
TVSMOTOR.NS,No,0.01
UBL.NS,No,0.01
VEDL.NS,No,21.84
VOLTAS.NS,No,0.22
ZEEL.NS,No,6.23
