Ticker,Buy,Confidence
RELIANCE.NS,No,2.71
HDFCBANK.NS,No,0.0
ICICIBANK.NS,No,0.56
INFY.NS,No,0.05
TCS.NS,No,0.03
LT.NS,No,0.05
ITC.NS,No,4.65
KOTAKBANK.NS,No,1.03
HINDUNILVR.NS,No,0.07
AXISBANK.NS,No,0.54
SBIN.NS,No,0.06
BHARTIARTL.NS,No,0.01
BAJFINANCE.NS,No,0.07
ASIANPAINT.NS,No,0.19
MARUTI.NS,No,1.61
HCLTECH.NS,No,24.07
SUNPHARMA.NS,No,4.48
NTPC.NS,No,0.04
TITAN.NS,No,0.33
ONGC.NS,No,2.73
ULTRACEMCO.NS,No,26.07
POWERGRID.NS,No,0.09
ADANIENT.NS,No,0.41
JSWSTEEL.NS,No,0.03
WIPRO.NS,No,0.17
TATAMOTORS.NS,No,0.14
INDUSINDBK.NS,No,0.41
BAJAJFINSV.NS,No,0.39
HINDALCO.NS,No,0.01
GRASIM.NS,No,0.1
TECHM.NS,No,0.18
DIVISLAB.NS,No,7.67
NESTLEIND.NS,No,1.19
TATASTEEL.NS,No,0.37
CIPLA.NS,No,0.07
ADANIPORTS.NS,Yes,74.7
DRREDDY.NS,No,0.27
BPCL.NS,No,0.07
SBILIFE.NS,No,0.02
BRITANNIA.NS,No,0.44
EICHERMOT.NS,Yes,97.14
HEROMOTOCO.NS,Yes,63.87
COALINDIA.NS,No,0.4
BAJAJ-AUTO.NS,No,2.59
HDFCLIFE.NS,No,0.22
SHREECEM.NS,No,1.19
APOLLOHOSP.NS,No,0.17
M&M.NS,No,0.41
ICICIPRULI.NS,No,2.55
UPL.NS,No,1.47
ABB.NS,No,38.1
ACC.NS,No,1.67
ADANIGREEN.NS,No,0.35
ALKEM.NS,No,1.77
AMBUJACEM.NS,No,0.06
AUROPHARMA.NS,No,0.06
BAJAJHLDNG.NS,No,2.25
BANDHANBNK.NS,No,2.05
BANKBARODA.NS,No,0.3
BERGEPAINT.NS,No,0.24
BIOCON.NS,No,10.56
BOSCHLTD.NS,No,4.82
CANBK.NS,Yes,99.9
CHOLAFIN.NS,No,15.29
COLPAL.NS,Yes,99.78
DABUR.NS,No,0.87
DIXON.NS,No,1.03
GAIL.NS,No,0.02
GODREJCP.NS,Yes,92.18
HAVELLS.NS,No,0.08
ICICIGI.NS,No,0.2
ICICIPRULI.NS,No,2.49
IDEA.NS,No,42.51
IGL.NS,No,2.74
INDIGO.NS,No,0.91
INDUSTOWER.NS,No,2.26
IOC.NS,No,0.08
LICHSGFIN.NS,No,0.27
MARICO.NS,No,1.12
MOTHERSON.NS,Yes,74.41
MRF.NS,No,1.29
NHPC.NS,No,10.77
NMDC.NS,No,0.06
PAGEIND.NS,No,0.01
PEL.NS,No,38.61
PIDILITIND.NS,No,0.05
PNB.NS,Yes,96.72
RECLTD.NS,No,4.07
SAIL.NS,No,0.12
SIEMENS.NS,No,0.15
SRF.NS,No,1.8
TORNTPHARM.NS,No,1.17
TRENT.NS,No,0.33
TVSMOTOR.NS,No,5.52
UBL.NS,No,0.29
VEDL.NS,No,1.49
VOLTAS.NS,No,8.77
ZEEL.NS,Yes,99.88
