Ticker,Buy,Confidence
TRENT.NS,Yes,99.96
WIPRO.NS,Yes,99.8
TCS.NS,Yes,99.72
ABB.NS,Yes,99.7
BHARTIARTL.NS,Yes,99.61
TITAN.NS,Yes,99.37
HCLTECH.NS,Yes,99.31
HDFCLIFE.NS,Yes,98.82
TECHM.NS,Yes,98.45
BERGEPAINT.NS,Yes,95.81
CHOLAFIN.NS,Yes,95.31
BANDHANBNK.NS,Yes,94.89
LT.NS,Yes,94.61
INDUSTOWER.NS,Yes,94.28
SIEMENS.NS,Yes,57.35
GAIL.NS,No,42.49
TVSMOTOR.NS,No,33.7
BAJAJ-AUTO.NS,No,12.22
AXISBANK.NS,No,6.46
INFY.NS,No,6.01
HINDALCO.NS,No,4.86
DRREDDY.NS,No,4.43
M&M.NS,No,3.64
VEDL.NS,No,3.38
ONGC.NS,No,2.58
ZEEL.NS,No,1.82
ADANIENT.NS,No,1.4
BAJAJHLDNG.NS,No,1.14
SAIL.NS,No,0.84
UBL.NS,No,0.81
LICHSGFIN.NS,No,0.73
RELIANCE.NS,No,0.5
CANBK.NS,No,0.46
TATAMOTORS.NS,No,0.44
BAJFINANCE.NS,No,0.41
ICICIBANK.NS,No,0.29
HAVELLS.NS,No,0.29
MOTHERSON.NS,No,0.29
CIPLA.NS,No,0.27
EICHERMOT.NS,No,0.23
APOLLOHOSP.NS,No,0.21
PIDILITIND.NS,No,0.21
GRASIM.NS,No,0.19
COALINDIA.NS,No,0.18
DIVISLAB.NS,No,0.17
UPL.NS,No,0.08
ITC.NS,No,0.07
NMDC.NS,No,0.07
SRF.NS,No,0.07
NTPC.NS,No,0.06
TATASTEEL.NS,No,0.06
ADANIGREEN.NS,No,0.06
GODREJCP.NS,No,0.06
RECLTD.NS,No,0.06
AUROPHARMA.NS,No,0.05
MARUTI.NS,No,0.04
HEROMOTOCO.NS,No,0.04
PNB.NS,No,0.04
SBIN.NS,No,0.03
IDEA.NS,No,0.03
NESTLEIND.NS,No,0.02
BRITANNIA.NS,No,0.02
BIOCON.NS,No,0.02
IGL.NS,No,0.02
MARICO.NS,No,0.02
KOTAKBANK.NS,No,0.01
HINDUNILVR.NS,No,0.01
SUNPHARMA.NS,No,0.01
ULTRACEMCO.NS,No,0.01
POWERGRID.NS,No,0.01
INDUSINDBK.NS,No,0.01
BAJAJFINSV.NS,No,0.01
ADANIPORTS.NS,No,0.01
BPCL.NS,No,0.01
SBILIFE.NS,No,0.01
ICICIPRULI.NS,No,0.01
ACC.NS,No,0.01
BANKBARODA.NS,No,0.01
COLPAL.NS,No,0.01
DABUR.NS,No,0.01
ICICIGI.NS,No,0.01
IOC.NS,No,0.01
MRF.NS,No,0.01
PAGEIND.NS,No,0.01
PEL.NS,No,0.01
VOLTAS.NS,No,0.01
HDFCBANK.NS,No,0
ASIANPAINT.NS,No,0
JSWSTEEL.NS,No,0
SHREECEM.NS,No,0
ALKEM.NS,No,0
AMBUJACEM.NS,No,0
BOSCHLTD.NS,No,0
DIXON.NS,No,0
ICICIPRULI.NS,No,0
INDIGO.NS,No,0
NHPC.NS,No,0
TORNTPHARM.NS,No,0
